Open time,Open,High,Low,Close_1m,Volume,EMA,MACD,Close_prev,Porcentagem,Probabilidade,Direcao,Oscilacao
1705858200000,41687.3,41693.2,41687.3,41693.2,0.04519289999999998,41672.048427878486,1.8708084674435668,0.25218797,,,Estabilidade,Pequena
1705858260000,41693.3,41693.3,41670.7,41674.0,0.10597540999999921,41669.82194660254,0.04817534148605773,0.21304418,,,Estabilidade,Pequena
1705858320000,41679.9,41679.9,41665.2,41668.0,0.28165109000000044,41669.38215150807,-0.3239589442455326,0.16661505,-33.932198,0.4646081073443129,Baixa,Pequena
1705858380000,41668.8,41679.4,41668.8,41679.4,0.02604862999999824,41669.5276411405,-0.1833163933843025,0.16818881,-21.054495,0.4651539180493735,Baixa,Pequena
1705858440000,41683.1,41687.6,41683.1,41687.6,14.69505723,41668.48844547108,-1.161866208203719,0.22207415,33.28576,0.4674577932447215,Alta,Pequena
1705858500000,41683.1,41683.1,41666.9,41668.2,0.04001055000000164,41666.47670288909,-3.2288608269955144,0.17184226,2.1722317,0.46613852852678483,Alta,Pequena
1705858560000,41666.0,41666.0,41660.8,41666.0,1.1777425000000008,41666.295303193205,-3.8448596193265985,0.11726033,-47.19767,0.46404593072528766,Baixa,Pequena
1705858620000,41666.1,41669.6,41666.1,41669.5,15.75769063,41666.32638773986,-4.3511728470693924,0.1323695,-22.970343,0.4650727131906236,Baixa,Pequena
1705858680000,41669.5,41669.5,41656.4,41656.4,12.77252521,41665.99232329142,-5.290486489066097,0.1109996,-5.3391695,0.4658200862782575,Baixa,Pequena
1705858740000,41654.4,41658.0,41654.4,41658.0,13.42304951,41667.00204153262,-5.078621552282129,0.07297805,-44.867928,0.4641446569139569,Baixa,Pequena
1705858800000,41658.0,41666.0,41658.0,41666.0,2.45184068,41667.94962485184,-4.8972430831199745,0.10371203,-6.565404,0.4657681015268237,Baixa,Pequena
1705858860000,41666.1,41666.1,41663.9,41663.9,0.012963370000001362,41668.15484852046,-5.40905102853867,0.12109981,65.94005,0.46884277324255036,Alta,Pequena
1705858920000,41662.1,41662.1,41652.4,41654.0,17.87409689,41668.60272731209,-5.769808791199466,0.087076716,-16.039907,0.46536647289179545,Baixa,Pequena
1705858980000,41652.1,41653.8,41651.1,41651.1,16.26844437,41670.139856502836,-5.1383423894731095,0.055316523,-54.32154,0.46374405845049627,Baixa,Pequena
1705859040000,41653.8,41654.8,41653.8,41654.8,1.3096298199999996,41672.14405192419,-3.9623493837934802,0.069591254,-20.080524,0.4651952005801067,Baixa,Pequena
1705859100000,41654.8,41654.8,41652.1,41653.9,14.86414692,41673.96974160042,-2.780447774595814,0.07114676,28.61755,0.4672598310674919,Alta,Pequena
1705859160000,41653.9,41653.9,41653.8,41653.9,0.033979670000000795,41676.08234597941,-1.1398322985041887,0.07306206,4.9874187,0.4662578811105139,Alta,Pequena
1705859220000,41653.8,41683.0,41653.8,41683.0,28.96586454,41678.41732976672,0.9707690153227303,0.15411557,116.61644,0.47099287659580696,Alta,Pequena
1705859280000,41680.5,41680.5,41679.9,41679.9,16.62951009,41677.93494342637,0.6876344156553386,0.21332406,191.9765,0.4741917994811444,Alta,Pequena
1705859340000,41679.9,41679.9,41665.9,41665.9,58.22133233,41677.72809536599,0.6318861169493174,0.17871419,15.961146,0.46672315375145407,Alta,Pequena
1705859400000,41665.9,41668.6,41665.9,41668.6,15.37996046,41678.9731580361,1.9769944903600845,0.15120193,-29.121012,0.46481201768921054,Baixa,Pequena
1705859460000,41668.6,41699.9,41668.6,41699.9,17.13363062,41680.065069408316,3.390176530738245,0.23828547,33.333267,0.4674598077161099,Alta,Pequena
1705859520000,41699.9,41699.9,41688.2,41691.2,0.48198922999999994,41677.977181977614,1.9576899491075892,0.2859571,89.12264,0.46982625613029033,Alta,Pequena
1705859580000,41691.1,41691.2,41678.0,41678.0,12.26662406,41676.585306396315,0.9866588583754493,0.23209184,-2.5992453,0.4659362411655355,Baixa,Pequena
1705859640000,41678.1,41690.1,41678.1,41690.1,14.02322903,41676.436391280135,1.0769186828110833,0.22987396,-19.61243,0.4652150425035861,Baixa,Pequena
1705859700000,41690.1,41694.9,41690.1,41694.8,28.19952583,41674.99811667804,-0.05554123120964505,0.27042204,16.5151,0.4667466425112502,Alta,Pequena
1705859760000,41694.8,41694.8,41684.0,41684.0,1.0822093299999995,41672.91370790731,-1.9787094671846717,0.24913417,8.378601,0.46640165970365743,Alta,Pequena
1705859820000,41684.1,41684.1,41680.1,41680.1,42.49411825,41671.74672979229,-3.3049538779523577,0.21253707,-21.405422,0.46513904494143105,Baixa,Pequena
1705859880000,41680.1,41680.1,41680.0,41680.0,0.07640924000000027,41670.86743819148,-4.552561051292287,0.20048063,-19.52905,0.46521857503238684,Baixa,Pequena
1705859940000,41680.0,41680.0,41678.1,41680.0,0.3922203499999988,41669.90611589585,-6.068560591789719,0.19668438,-7.458788,0.46573023126667573,Baixa,Pequena
1705860000000,41680.0,41680.0,41669.3,41673.1,29.3545256,41668.84360177963,-7.91525730577996,0.17749757,-11.463982,0.465560446730309,Baixa,Pequena
1705860060000,41673.2,41673.2,41664.1,41664.1,0.09090103000000127,41668.39555986169,-9.454637368995463,0.14139242,-28.112019,0.4648547834268327,Baixa,Pequena
1705860120000,41664.1,41664.1,41658.1,41658.1,0.15504456000000033,41668.847724057654,-10.365560469770571,0.1032741,-41.81661,0.4642739663970138,Baixa,Pequena
1705860180000,41658.1,41667.2,41658.1,41667.2,1.714583189999999,41669.97906343214,-10.766548711559153,0.10977318,-22.362757,0.46509846467072097,Baixa,Pequena
1705860240000,41667.2,41667.2,41662.2,41662.2,1.29379402,41670.271596424995,-12.048296631648554,0.123540096,19.623507,0.4668784482931512,Alta,Pequena
1705860300000,41662.2,41662.9,41662.2,41662.9,0.10539989000000105,41671.12123815394,-12.99993420773535,0.11218314,2.195394,0.4661395088291732,Alta,Pequena
1705860360000,41662.9,41662.9,41655.1,41655.1,1.0906924800000013,41671.98663164382,-14.096752580007887,0.097338356,-21.209097,0.46514736534819573,Baixa,Pequena
1705860420000,41655.1,41655.9,41654.0,41654.0,13.241271,41673.76417181685,-14.49746617400524,0.07424017,-33.822346,0.46461276444506944,Baixa,Pequena
1705860480000,41654.1,41654.1,41654.0,41654.1,7.76592067,41675.84461095547,-14.686050198717567,0.0727297,-25.28156,0.46497475112484565,Baixa,Pequena
1705860540000,41654.1,41654.1,41652.2,41652.3,0.21237951000000166,41678.13351737184,-14.723318532822304,0.07139974,-3.8259983,0.4658842343818405,Baixa,Pequena
1705860600000,41652.3,41652.3,41632.9,41636.7,14.75881439,41680.85283498993,-14.373456391513173,0.027412336,-62.309296,0.46340560257727836,Baixa,Pequena
1705860660000,41637.7,41637.7,41631.0,41631.1,0.1025365700000016,41685.500501830975,-12.129472983637243,0.0018257415,-97.44293,0.4619172531620447,Baixa,Pequena
1705860720000,41631.1,41650.9,41631.0,41650.2,19.33216688,41691.226870444756,-8.518723645094724,0.014215488,-48.142006,0.4640059139456313,Baixa,Pequena
1705860780000,41650.1,41662.0,41648.5,41662.0,13.65972242,41695.54548838631,-5.730913054518169,0.11494751,6195.936,0.7175621553467175,Alta,Pequena
1705860840000,41662.0,41662.0,41662.0,41662.0,0.012277369999999621,41699.07659242697,-3.2907488017517608,0.1603867,1028.2532,0.5097556431229061,Alta,Pequena
1705860900000,41661.9,41662.0,41651.8,41652.0,30.03365833,41702.97939162981,-0.12834644565009512,0.14102753,22.688627,0.4670084152297063,Alta,Pequena
1705860960000,41653.9,41681.9,41653.9,41681.9,53.09436181,41708.345643380315,4.928077600801771,0.20446418,27.48201,0.46721167556508825,Alta,Pequena
1705861020000,41681.9,41727.5,41680.9,41723.8,141.40164779,41711.12939531509,8.265868618625973,0.39320806,178.81653,0.4736330536535221,Alta,Pequena
1705861080000,41723.8,41730.7,41714.2,41720.0,101.02298027,41709.795647453524,8.139691065101943,0.46968105,129.71313,0.47154868152658996,Alta,Pequena
1705861140000,41718.0,41721.7,41714.3,41718.4,80.54042093,41708.721505080204,8.247156208570232,0.4490397,14.199007,0.46664844071701916,Alta,Pequena
1705861200000,41716.9,41716.9,41711.0,41714.1,44.97343418,41707.702716141284,8.427271265019954,0.43214944,-7.990873,0.46570767746498437,Baixa,Pequena
1705861260000,41703.9,41720.0,41702.6,41720.0,26.65531185,41707.02931784037,8.972403264124296,0.42406577,-5.561632,0.46581065707641733,Baixa,Pequena
1705861320000,41720.7,41720.7,41711.1,41712.0,30.48301708,41705.6639828762,8.936954968230566,0.4345732,0.5608678,0.4660702129147495,Alta,Pequena
